Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Gradient_Boosting,0.806,0.5176908752327747,0.683046683046683,0.5889830508474576,0.8530094038568615
CatBoost,0.8115,0.5301204819277109,0.6486486486486487,0.5834254143646409,0.84336262302364
Random_Forest,0.812,0.5315682281059063,0.6412776412776413,0.5812917594654788,0.8411824767756969
XGBoost,0.8115,0.5311203319502075,0.628992628992629,0.5759280089988752,0.8329423414169179
AdaBoost,0.788,0.48547008547008547,0.6977886977886978,0.5725806451612904,0.8386105674241267
KNeighbors,0.772,0.45709281961471104,0.6412776412776413,0.5337423312883436,0.7921118344847159
Decision_Tree,0.744,0.41116751269035534,0.597051597051597,0.48697394789579157,0.6892979265860621
Logistic_Regression,0.7305,0.39622641509433965,0.6191646191646192,0.48322147651006714,0.743490794338252
