iter	Logloss
0	0.6724842271
1	0.6552134949
2	0.6386872238
3	0.6225938855
4	0.6075526083
5	0.5954252109
6	0.5826052751
7	0.5710007175
8	0.5602846058
9	0.5496637089
10	0.5411568934
11	0.532798989
12	0.5250237581
13	0.5181446146
14	0.5112972802
15	0.5047764415
16	0.4989784934
17	0.4935380023
18	0.4889522555
19	0.4840253069
20	0.4789552529
21	0.4747839
22	0.4705693336
23	0.4670798333
24	0.4632927239
25	0.4594608357
26	0.4567916306
27	0.4536219198
28	0.4507769779
29	0.4478084293
30	0.4453221335
31	0.4428677645
32	0.4408390564
33	0.438489985
34	0.4365575453
35	0.4343393336
36	0.4321885022
37	0.4303120606
38	0.4287296528
39	0.4268149305
40	0.4249500476
41	0.4232846964
42	0.4216681137
43	0.4199234124
44	0.4187422653
45	0.4172345705
46	0.4157364661
47	0.4142128505
48	0.4122261467
49	0.4112360909
50	0.4098781856
51	0.408501166
52	0.4075750763
53	0.4067103182
54	0.4056000716
55	0.4047133884
56	0.4038283137
57	0.4030367148
58	0.402075909
59	0.4010177041
60	0.4001766616
61	0.3995223913
62	0.3987402992
63	0.3980560765
64	0.3973859707
65	0.3966146119
66	0.3959518086
67	0.3953640926
68	0.3946522686
69	0.3940818467
70	0.3934618214
71	0.3929849656
72	0.3925208332
73	0.3919738242
74	0.3908639426
75	0.3901711666
76	0.3894529852
77	0.3886904364
78	0.3881096903
79	0.3876377553
80	0.3870909827
81	0.3866360562
82	0.3861554851
83	0.3855369382
84	0.3849872753
85	0.3845980805
86	0.384041494
87	0.3834697672
88	0.3830613192
89	0.3826028739
90	0.3818563365
91	0.3813204891
92	0.3808381767
93	0.3803911779
94	0.3798974557
95	0.3795169322
96	0.3791644308
97	0.3786764066
98	0.3782593583
99	0.377822892
100	0.377510102
101	0.3769425837
102	0.3765849665
103	0.3761717922
104	0.3757353938
105	0.375372489
106	0.3749599853
107	0.3747294484
108	0.374367461
109	0.3739026966
110	0.3735618188
111	0.3732823731
112	0.3728705409
113	0.3725704678
114	0.3722946998
115	0.3718864545
116	0.3715571548
117	0.371301245
118	0.3709250464
119	0.3706828105
120	0.3702816786
121	0.3698197219
122	0.3695101185
123	0.3692370528
124	0.3689506639
125	0.3686289519
126	0.3680281499
127	0.3677633528
128	0.3674946539
129	0.3672487043
130	0.367056656
131	0.3667527339
132	0.3664453459
133	0.3660939825
134	0.3658106143
135	0.3655502265
136	0.3652863965
137	0.3650923636
138	0.3647707083
139	0.3644042799
140	0.3642021106
141	0.3638661922
142	0.3635441367
143	0.3633140383
144	0.3629824376
145	0.3627872808
146	0.3625713821
147	0.3622827926
148	0.3620926806
149	0.3619311863
150	0.3616950687
151	0.3614593278
152	0.3607905009
153	0.3605276471
154	0.3602466531
155	0.3599583913
156	0.3597092585
157	0.3594897687
158	0.3592744907
159	0.3590666619
160	0.3588369089
161	0.3586667195
162	0.358424392
163	0.3582032971
164	0.357976209
165	0.3577163119
166	0.3575051744
167	0.3572454352
168	0.3569172286
169	0.356700218
170	0.3564639488
171	0.3561115519
172	0.3558572498
173	0.355598645
174	0.3554641529
175	0.3552406945
176	0.3550359753
177	0.3547743431
178	0.3545252835
179	0.3543948358
180	0.3541550708
181	0.353970728
182	0.3538196778
183	0.3536035151
184	0.3534549645
185	0.3533118596
186	0.3530447044
187	0.3528218379
188	0.3526137862
189	0.3524069175
190	0.3522234293
191	0.3519772827
192	0.3517567612
193	0.3516588199
194	0.3513798141
195	0.35113722
196	0.3509294562
197	0.3506964422
198	0.3505528719
199	0.3502887701
200	0.3501700103
201	0.3500447252
202	0.3498514966
203	0.3496773153
204	0.3494652435
205	0.3492580095
206	0.3491555667
207	0.3489495794
208	0.3487504644
209	0.3484966326
210	0.3483058661
211	0.3481133716
212	0.3479153891
213	0.3476316609
214	0.3474773293
215	0.3473396477
216	0.3471745039
217	0.3470721817
218	0.3469057332
219	0.3467225236
220	0.3465311772
221	0.3463049326
222	0.3460377531
223	0.3455760487
224	0.3453118329
225	0.3451837047
226	0.3449902257
227	0.3448197309
228	0.3446629829
229	0.3444938202
230	0.3442357862
231	0.344002931
232	0.3437508655
233	0.3436086599
234	0.3434687213
235	0.3429428955
236	0.3427634088
237	0.3425277313
238	0.3423794314
239	0.3422226089
240	0.3420416216
241	0.341831538
242	0.3416419533
243	0.341512691
244	0.3413574665
245	0.3411502531
246	0.3410680453
247	0.3409592908
248	0.34074147
249	0.3406038571
250	0.3405397554
251	0.3403597694
252	0.340187701
253	0.3399977234
254	0.3397917022
255	0.3394675073
256	0.3394426116
257	0.3392849439
258	0.3391083533
259	0.3389821799
260	0.3387824117
261	0.3384984031
262	0.3382883923
263	0.338081014
264	0.3379649933
265	0.3378007427
266	0.3376533938
267	0.3375465325
268	0.3374148104
269	0.3372360419
270	0.3371475361
271	0.3369797513
272	0.3368298985
273	0.3366313121
274	0.3365551721
275	0.3363943518
276	0.3362244623
277	0.3360855431
278	0.3359173127
279	0.3356550208
280	0.3355164599
281	0.3353409813
282	0.3351899124
283	0.3349634475
284	0.3348034562
285	0.3347050145
286	0.3345760828
287	0.3344084872
288	0.3342268616
289	0.3339645669
290	0.333764267
291	0.3335270331
292	0.3333783538
293	0.3332265987
294	0.3331126674
295	0.3329975773
296	0.3328415315
297	0.332562453
298	0.3323874188
299	0.3322294245
300	0.3320537702
301	0.3319062743
302	0.3317443482
303	0.3316462299
304	0.3314401686
305	0.3313301548
306	0.3311922278
307	0.3310379751
308	0.3309182372
309	0.3307233101
310	0.3305713989
311	0.3304671373
312	0.3303521635
313	0.330177428
314	0.3300375787
315	0.3299025941
316	0.3297275591
317	0.3295544213
318	0.3294555793
319	0.3292573806
320	0.329068636
321	0.328867875
322	0.3287198154
323	0.3285991778
324	0.3284034535
325	0.3282467909
326	0.3280613006
327	0.3279266919
328	0.3278209205
329	0.3276938433
330	0.3275120778
331	0.3273894976
332	0.3272005278
333	0.3269952842
334	0.3267795683
335	0.3265487621
336	0.3263956436
337	0.3262476502
338	0.3260935479
339	0.3258758679
340	0.3256579316
341	0.3255105275
342	0.3253864172
343	0.3252358442
344	0.3251459824
345	0.3250160064
346	0.3248716039
347	0.3247219352
348	0.3245734328
349	0.3244288046
350	0.3242623505
351	0.3241200461
352	0.3239751559
353	0.3238075514
354	0.3236619079
355	0.3235529305
356	0.323446162
357	0.32324803
358	0.3229534757
359	0.3228585427
360	0.3226755371
361	0.3224580995
362	0.3223227877
363	0.3222002289
364	0.3221329288
365	0.3219073507
366	0.321754916
367	0.3216567937
368	0.3214925613
369	0.3213172965
370	0.3211340558
371	0.3210324777
372	0.3208605744
373	0.3206995927
374	0.3205945491
375	0.3204947338
376	0.3202003611
377	0.3200277997
378	0.3197913024
379	0.319635005
380	0.3195018108
381	0.3193484503
382	0.3191819702
383	0.3190442366
384	0.3188986098
385	0.3187798679
386	0.3186287001
387	0.3184601733
388	0.3183577808
389	0.318234046
390	0.3181137459
391	0.3180066846
392	0.3177180807
393	0.3175241715
394	0.3173796575
395	0.3171765577
396	0.3170179653
397	0.3167584778
398	0.3165816627
399	0.3164373525
400	0.3162976246
401	0.3161866822
402	0.3160830372
403	0.315947507
404	0.3158411289
405	0.3157325486
406	0.3154263694
407	0.3153293854
408	0.3151077624
409	0.314997347
410	0.3148099513
411	0.3146489682
412	0.3144359986
413	0.3142796162
414	0.3141326551
415	0.3139893112
416	0.3138403927
417	0.3136799022
418	0.3135802738
419	0.3135133377
420	0.3133578043
421	0.3130359392
422	0.3128862544
423	0.3127169879
424	0.3125826649
425	0.3124866107
426	0.3123826242
427	0.3122766764
428	0.3121845609
429	0.3120236578
430	0.3118517892
431	0.3117381801
432	0.311594868
433	0.3114868701
434	0.3113418399
435	0.3112395171
436	0.3110604054
437	0.3109762797
438	0.310906671
439	0.3107658731
440	0.3106038096
441	0.3103231831
442	0.3102366056
443	0.310083946
444	0.3099404919
445	0.3097801641
446	0.309646707
447	0.3094692777
448	0.3092455922
449	0.3091349288
450	0.3089828945
451	0.308857447
452	0.3087287868
453	0.3085794607
454	0.3084415465
455	0.3083426844
456	0.3082313213
457	0.3081490517
458	0.3079447691
459	0.3078034348
460	0.3076733086
461	0.3075381722
462	0.3073084523
463	0.3071215899
464	0.306976635
465	0.3068613989
466	0.3067513688
467	0.3065845695
468	0.3064620449
469	0.3063394418
470	0.3062303627
471	0.3060878816
472	0.3058989735
473	0.3057753493
474	0.3056671171
475	0.3055077921
476	0.3053569852
477	0.3052404495
478	0.305097367
479	0.3050013881
480	0.3048830828
481	0.3046831591
482	0.3046108268
483	0.3044905461
484	0.3043582574
485	0.3042336445
486	0.304166902
487	0.3040599275
488	0.3039522516
489	0.303831618
490	0.3037510145
491	0.3036369222
492	0.3035582579
493	0.3034257968
494	0.3033113605
495	0.3031593592
496	0.3030308271
