iter	Passed	Remaining
465	773	886
466	775	884
467	776	883
468	778	881
469	779	879
470	781	877
471	783	876
472	785	874
473	786	873
474	788	872
475	790	870
476	792	868
477	793	866
478	795	865
479	797	863
480	799	862
481	800	860
482	802	858
483	804	857
484	805	855
485	807	854
486	809	852
487	810	850
488	812	849
489	814	847
490	816	846
491	817	844
492	819	842
493	820	840
494	822	839
495	824	837
496	826	836
497	827	834
498	829	832
499	830	830
500	832	829
501	834	827
502	835	825
503	837	824
504	839	822
505	840	820
506	842	819
507	844	817
508	845	815
509	847	814
510	849	812
511	850	811
512	852	809
513	854	807
514	855	805
515	857	804
516	858	802
517	860	800
518	862	799
519	864	797
520	865	795
521	867	794
522	868	792
523	870	790
524	872	789
525	873	787
526	875	785
527	877	784
528	879	782
529	880	780
530	882	779
531	884	777
532	885	776
533	887	774
534	889	772
535	890	770
536	892	769
537	893	767
538	895	765
539	897	764
540	899	762
541	900	761
542	902	759
543	904	758
544	906	756
545	907	754
546	909	753
547	911	751
548	912	749
549	914	748
550	916	746
551	917	744
552	919	743
553	921	741
554	922	739
555	924	738
556	926	736
557	928	735
558	929	733
559	931	731
560	933	730
561	934	728
562	936	727
563	938	725
564	940	723
565	941	721
566	943	720
567	944	718
568	946	716
569	947	714
570	949	713
571	951	711
572	952	710
573	954	708
574	956	706
575	957	705
576	959	703
577	961	701
578	963	700
579	964	698
580	966	696
581	968	695
582	969	693
583	971	692
584	973	690
585	975	688
586	976	687
587	978	685
588	980	683
589	981	682
590	983	680
591	985	678
592	986	677
593	988	675
594	990	674
595	992	672
596	993	670
597	995	669
598	996	667
599	998	665
600	1000	664
601	1002	662
602	1003	660
603	1005	659
604	1006	657
605	1008	655
606	1010	654
607	1011	652
608	1013	650
609	1015	649
610	1016	647
611	1018	645
612	1020	644
613	1022	642
614	1024	641
615	1026	639
616	1027	637
617	1029	636
618	1031	634
619	1033	633
620	1034	631
621	1036	629
622	1038	628
623	1039	626
624	1041	624
625	1043	623
626	1044	621
627	1046	619
628	1048	618
629	1049	616
630	1051	614
631	1053	613
632	1054	611
633	1056	609
634	1058	608
635	1059	606
636	1061	604
637	1063	603
638	1064	601
639	1066	600
640	1068	598
641	1070	596
642	1071	595
643	1073	593
644	1075	591
645	1077	590
646	1078	588
647	1080	586
648	1081	585
649	1083	583
650	1085	581
651	1086	580
652	1088	578
653	1090	576
654	1091	575
655	1093	573
656	1095	571
657	1096	570
658	1098	568
659	1100	566
660	1102	565
661	1103	563
662	1105	561
663	1106	560
664	1108	558
665	1110	556
666	1111	555
667	1113	553
668	1115	551
669	1117	550
670	1118	548
671	1120	546
672	1122	545
673	1123	543
674	1125	542
675	1127	540
676	1128	538
677	1130	536
678	1132	535
679	1134	533
680	1135	532
681	1137	530
682	1139	528
683	1141	527
684	1142	525
685	1144	523
686	1146	522
687	1147	520
688	1149	518
689	1151	517
690	1153	515
691	1154	514
692	1156	512
693	1158	510
694	1159	508
695	1161	507
696	1163	505
697	1164	503
698	1166	502
699	1168	500
700	1169	498
701	1171	497
702	1173	495
703	1175	494
704	1177	492
705	1179	491
706	1180	489
707	1182	487
708	1184	486
709	1186	484
710	1187	482
711	1189	481
712	1191	479
713	1192	477
714	1194	476
715	1196	474
716	1197	472
717	1199	471
718	1201	469
719	1202	467
720	1204	466
721	1206	464
722	1207	462
723	1209	461
724	1211	459
725	1212	457
726	1214	455
727	1216	454
728	1217	452
729	1219	451
730	1220	449
731	1222	447
732	1224	445
733	1226	444
734	1227	442
735	1229	441
736	1231	439
737	1232	437
738	1234	435
739	1236	434
740	1238	432
741	1239	431
742	1241	429
743	1242	427
744	1244	426
745	1246	424
746	1248	422
747	1250	421
748	1251	419
749	1253	417
750	1255	416
751	1256	414
