iter	Logloss
0	0.6725661162
1	0.6525815798
2	0.6369577804
3	0.6192932639
4	0.6022113043
5	0.5871299791
6	0.5735662754
7	0.5608220159
8	0.5483068259
9	0.5380074446
10	0.5271989651
11	0.5170981155
12	0.5078676406
13	0.4991337832
14	0.4904260335
15	0.4822069548
16	0.4751846314
17	0.4693853156
18	0.4626390938
19	0.456437134
20	0.4515018256
21	0.4467782427
22	0.442498327
23	0.4382847995
24	0.4334980749
25	0.4296588514
26	0.4248105198
27	0.4206973083
28	0.4170053291
29	0.4139718592
30	0.4103921978
31	0.4068019002
32	0.4041173947
33	0.4003491663
34	0.3974293454
35	0.3956676723
36	0.3931000856
37	0.3909252593
38	0.3891023838
39	0.3870839537
40	0.3853492805
41	0.3826143122
42	0.3807361075
43	0.3784605449
44	0.376726721
45	0.3753298716
46	0.3742003113
47	0.3728926578
48	0.3708539904
49	0.3695546954
50	0.3684791151
51	0.3674246961
52	0.3662933898
53	0.3653534776
54	0.3644433615
55	0.3633721065
56	0.3623825417
57	0.3612295004
58	0.3601922518
59	0.3589214007
60	0.3579894773
61	0.357144118
62	0.3558359036
63	0.3553280987
64	0.3546157703
65	0.3536773514
66	0.3530791822
67	0.3525195507
68	0.3519206104
69	0.3509192373
70	0.3503677283
71	0.3498353186
72	0.3493978778
73	0.3489269047
74	0.3480079539
75	0.347418243
76	0.3464681094
77	0.3457058486
78	0.3450049306
79	0.3444344795
80	0.3440218802
81	0.3433579431
82	0.342724592
83	0.3423485413
84	0.3418795213
85	0.3415398857
86	0.3411343025
87	0.3407526153
88	0.3403887296
89	0.3401009954
90	0.3396065421
91	0.339057667
92	0.3388775012
93	0.3384967819
94	0.3379245482
95	0.3376144695
96	0.337170185
97	0.3366721708
98	0.3363176138
99	0.3356894121
100	0.3354547706
101	0.3351649318
102	0.3348788311
103	0.3343205063
104	0.3339474843
105	0.333628683
106	0.3333804921
107	0.3332415345
108	0.3327734464
109	0.3324916737
110	0.3322788927
111	0.3320650519
112	0.3318999508
113	0.3316727648
114	0.3314675766
115	0.3309944719
116	0.3307597832
117	0.3305741017
118	0.3302303726
119	0.3299535283
120	0.3296787344
121	0.3294352146
122	0.3292216788
123	0.3287890782
124	0.3285634218
125	0.3284121893
126	0.3280549453
127	0.3279042558
128	0.3276438803
129	0.3275249592
130	0.3273728709
131	0.3271619999
132	0.3269780865
133	0.3267052119
134	0.3263926479
135	0.3262249723
136	0.3260179482
137	0.3258622204
138	0.3256537768
139	0.3253817302
140	0.3252533244
141	0.3248749865
142	0.3246362134
143	0.3245080067
144	0.3241459692
145	0.3239111951
146	0.3236186439
147	0.3234190574
148	0.3230910405
149	0.32299675
150	0.3228868366
151	0.3227088825
152	0.3225205194
153	0.3223133428
154	0.3220646673
155	0.3218891264
156	0.3217234234
157	0.3214747747
158	0.3211532065
159	0.3210697174
160	0.3209636654
161	0.320763288
162	0.3206383973
163	0.3205020561
